N,TipDate,Algoritm,TimpSec
100,Random,BubbleSort,0.000023
100,Random,InsertionSort,0.000015
100,Random,MergeSort,0.000067
100,Sortat,BubbleSort,0.000012
100,Sortat,InsertionSort,0.000001
100,Sortat,MergeSort,0.000026
100,Inversat,BubbleSort,0.000028
100,Inversat,InsertionSort,0.000015
100,Inversat,MergeSort,0.000032
100,AproapeSortat,BubbleSort,0.000012
100,AproapeSortat,InsertionSort,0.000004
100,AproapeSortat,MergeSort,0.000030
200,Random,BubbleSort,0.000085
200,Random,InsertionSort,0.000030
200,Random,MergeSort,0.000064
200,Sortat,BubbleSort,0.000044
200,Sortat,InsertionSort,0.000001
200,Sortat,MergeSort,0.000059
200,Inversat,BubbleSort,0.000093
200,Inversat,InsertionSort,0.000092
200,Inversat,MergeSort,0.000096
200,AproapeSortat,BubbleSort,0.000079
200,AproapeSortat,InsertionSort,0.000008
200,AproapeSortat,MergeSort,0.000057
300,Random,BubbleSort,0.000174
300,Random,InsertionSort,0.000058
300,Random,MergeSort,0.000103
300,Sortat,BubbleSort,0.000101
300,Sortat,InsertionSort,0.000002
300,Sortat,MergeSort,0.000077
300,Inversat,BubbleSort,0.000180
300,Inversat,InsertionSort,0.000130
300,Inversat,MergeSort,0.000114
300,AproapeSortat,BubbleSort,0.000138
300,AproapeSortat,InsertionSort,0.000018
300,AproapeSortat,MergeSort,0.000118
400,Random,BubbleSort,0.000327
400,Random,InsertionSort,0.000112
400,Random,MergeSort,0.000137
400,Sortat,BubbleSort,0.000193
400,Sortat,InsertionSort,0.000002
400,Sortat,MergeSort,0.000149
400,Inversat,BubbleSort,0.000305
400,Inversat,InsertionSort,0.000202
400,Inversat,MergeSort,0.000200
400,AproapeSortat,BubbleSort,0.000275
400,AproapeSortat,InsertionSort,0.000019
400,AproapeSortat,MergeSort,0.000169
500,Random,BubbleSort,0.000519
500,Random,InsertionSort,0.000192
500,Random,MergeSort,0.000159
500,Sortat,BubbleSort,0.000264
500,Sortat,InsertionSort,0.000002
500,Sortat,MergeSort,0.000133
500,Inversat,BubbleSort,0.000469
500,Inversat,InsertionSort,0.000303
500,Inversat,MergeSort,0.000132
500,AproapeSortat,BubbleSort,0.000289
500,AproapeSortat,InsertionSort,0.000020
500,AproapeSortat,MergeSort,0.000138
600,Random,BubbleSort,0.000600
600,Random,InsertionSort,0.000228
600,Random,MergeSort,0.000195
600,Sortat,BubbleSort,0.000373
600,Sortat,InsertionSort,0.000002
600,Sortat,MergeSort,0.000151
600,Inversat,BubbleSort,0.000777
600,Inversat,InsertionSort,0.000432
600,Inversat,MergeSort,0.000209
600,AproapeSortat,BubbleSort,0.000565
600,AproapeSortat,InsertionSort,0.000050
600,AproapeSortat,MergeSort,0.000243
700,Random,BubbleSort,0.000991
700,Random,InsertionSort,0.000352
700,Random,MergeSort,0.000270
700,Sortat,BubbleSort,0.000546
700,Sortat,InsertionSort,0.000004
700,Sortat,MergeSort,0.000209
700,Inversat,BubbleSort,0.001116
700,Inversat,InsertionSort,0.000799
700,Inversat,MergeSort,0.000251
700,AproapeSortat,BubbleSort,0.000581
700,AproapeSortat,InsertionSort,0.000052
700,AproapeSortat,MergeSort,0.000202
800,Random,BubbleSort,0.001046
800,Random,InsertionSort,0.000382
800,Random,MergeSort,0.000262
800,Sortat,BubbleSort,0.000670
800,Sortat,InsertionSort,0.000005
800,Sortat,MergeSort,0.000269
800,Inversat,BubbleSort,0.001730
800,Inversat,InsertionSort,0.000932
800,Inversat,MergeSort,0.000245
800,AproapeSortat,BubbleSort,0.000732
800,AproapeSortat,InsertionSort,0.000048
800,AproapeSortat,MergeSort,0.000224
900,Random,BubbleSort,0.001311
900,Random,InsertionSort,0.000469
900,Random,MergeSort,0.000278
900,Sortat,BubbleSort,0.000848
900,Sortat,InsertionSort,0.000005
900,Sortat,MergeSort,0.000239
900,Inversat,BubbleSort,0.001494
900,Inversat,InsertionSort,0.001468
900,Inversat,MergeSort,0.000285
900,AproapeSortat,BubbleSort,0.001002
900,AproapeSortat,InsertionSort,0.000116
900,AproapeSortat,MergeSort,0.000274
1000,Random,BubbleSort,0.001678
1000,Random,InsertionSort,0.000670
1000,Random,MergeSort,0.000381
1000,Sortat,BubbleSort,0.001031
1000,Sortat,InsertionSort,0.000004
1000,Sortat,MergeSort,0.000352
1000,Inversat,BubbleSort,0.002213
1000,Inversat,InsertionSort,0.001167
1000,Inversat,MergeSort,0.000262
1000,AproapeSortat,BubbleSort,0.001179
1000,AproapeSortat,InsertionSort,0.000114
1000,AproapeSortat,MergeSort,0.000292
2000,Random,BubbleSort,0.007061
2000,Random,InsertionSort,0.003644
2000,Random,MergeSort,0.000664
2000,Sortat,BubbleSort,0.004340
2000,Sortat,InsertionSort,0.000011
2000,Sortat,MergeSort,0.000752
2000,Inversat,BubbleSort,0.007397
2000,Inversat,InsertionSort,0.005462
2000,Inversat,MergeSort,0.000576
2000,AproapeSortat,BubbleSort,0.004950
2000,AproapeSortat,InsertionSort,0.000419
2000,AproapeSortat,MergeSort,0.000628
3000,Random,BubbleSort,0.017715
3000,Random,InsertionSort,0.005499
3000,Random,MergeSort,0.000977
3000,Sortat,BubbleSort,0.009506
3000,Sortat,InsertionSort,0.000011
3000,Sortat,MergeSort,0.000795
3000,Inversat,BubbleSort,0.018578
3000,Inversat,InsertionSort,0.011529
3000,Inversat,MergeSort,0.001091
3000,AproapeSortat,BubbleSort,0.013037
3000,AproapeSortat,InsertionSort,0.001169
3000,AproapeSortat,MergeSort,0.001322
4000,Random,BubbleSort,0.039797
4000,Random,InsertionSort,0.011214
4000,Random,MergeSort,0.001438
4000,Sortat,BubbleSort,0.017030
4000,Sortat,InsertionSort,0.000014
4000,Sortat,MergeSort,0.001087
4000,Inversat,BubbleSort,0.035955
4000,Inversat,InsertionSort,0.021375
4000,Inversat,MergeSort,0.001082
4000,AproapeSortat,BubbleSort,0.019515
4000,AproapeSortat,InsertionSort,0.001772
4000,AproapeSortat,MergeSort,0.001432
5000,Random,BubbleSort,0.052625
5000,Random,InsertionSort,0.019787
5000,Random,MergeSort,0.002432
5000,Sortat,BubbleSort,0.028444
5000,Sortat,InsertionSort,0.000028
5000,Sortat,MergeSort,0.001430
5000,Inversat,BubbleSort,0.049130
5000,Inversat,InsertionSort,0.029717
5000,Inversat,MergeSort,0.001314
5000,AproapeSortat,BubbleSort,0.029599
5000,AproapeSortat,InsertionSort,0.001705
5000,AproapeSortat,MergeSort,0.001387
6000,Random,BubbleSort,0.076728
6000,Random,InsertionSort,0.021697
6000,Random,MergeSort,0.001972
6000,Sortat,BubbleSort,0.038145
6000,Sortat,InsertionSort,0.000020
6000,Sortat,MergeSort,0.001585
6000,Inversat,BubbleSort,0.068174
6000,Inversat,InsertionSort,0.042124
6000,Inversat,MergeSort,0.001688
6000,AproapeSortat,BubbleSort,0.043210
6000,AproapeSortat,InsertionSort,0.002695
6000,AproapeSortat,MergeSort,0.001848
7000,Random,BubbleSort,0.107387
7000,Random,InsertionSort,0.028753
7000,Random,MergeSort,0.002280
7000,Sortat,BubbleSort,0.050704
7000,Sortat,InsertionSort,0.000025
7000,Sortat,MergeSort,0.002184
7000,Inversat,BubbleSort,0.091292
7000,Inversat,InsertionSort,0.057946
7000,Inversat,MergeSort,0.001812
7000,AproapeSortat,BubbleSort,0.067494
7000,AproapeSortat,InsertionSort,0.004164
7000,AproapeSortat,MergeSort,0.002382
8000,Random,BubbleSort,0.156277
8000,Random,InsertionSort,0.039468
8000,Random,MergeSort,0.003233
8000,Sortat,BubbleSort,0.068729
8000,Sortat,InsertionSort,0.000045
8000,Sortat,MergeSort,0.002154
8000,Inversat,BubbleSort,0.123038
8000,Inversat,InsertionSort,0.078198
8000,Inversat,MergeSort,0.002139
8000,AproapeSortat,BubbleSort,0.078271
8000,AproapeSortat,InsertionSort,0.004890
8000,AproapeSortat,MergeSort,0.002352
9000,Random,BubbleSort,0.192042
9000,Random,InsertionSort,0.052641
9000,Random,MergeSort,0.002939
9000,Sortat,BubbleSort,0.086402
9000,Sortat,InsertionSort,0.000032
9000,Sortat,MergeSort,0.002584
9000,Inversat,BubbleSort,0.163581
9000,Inversat,InsertionSort,0.096626
9000,Inversat,MergeSort,0.002359
9000,AproapeSortat,BubbleSort,0.098604
9000,AproapeSortat,InsertionSort,0.006177
9000,AproapeSortat,MergeSort,0.002636
10000,Random,BubbleSort,0.243455
10000,Random,InsertionSort,0.061546
10000,Random,MergeSort,0.003486
10000,Sortat,BubbleSort,0.103514
10000,Sortat,InsertionSort,0.000034
10000,Sortat,MergeSort,0.002956
10000,Inversat,BubbleSort,0.186444
10000,Inversat,InsertionSort,0.118158
10000,Inversat,MergeSort,0.002647
10000,AproapeSortat,BubbleSort,0.119788
10000,AproapeSortat,InsertionSort,0.007073
10000,AproapeSortat,MergeSort,0.002771
15000,Random,BubbleSort,0.603079
15000,Random,InsertionSort,0.149675
15000,Random,MergeSort,0.006028
15000,Sortat,BubbleSort,0.247420
15000,Sortat,InsertionSort,0.000074
15000,Sortat,MergeSort,0.004864
15000,Inversat,BubbleSort,0.424229
15000,Inversat,InsertionSort,0.276976
15000,Inversat,MergeSort,0.004447
15000,AproapeSortat,BubbleSort,0.268968
15000,AproapeSortat,InsertionSort,0.017402
15000,AproapeSortat,MergeSort,0.004400
20000,Random,BubbleSort,1.004238
20000,Random,InsertionSort,0.237189
20000,Random,MergeSort,0.007041
20000,Sortat,BubbleSort,0.408991
20000,Sortat,InsertionSort,0.000072
20000,Sortat,MergeSort,0.005537
20000,Inversat,BubbleSort,0.803499
20000,Inversat,InsertionSort,0.483506
20000,Inversat,MergeSort,0.005383
20000,AproapeSortat,BubbleSort,0.476021
20000,AproapeSortat,InsertionSort,0.030483
20000,AproapeSortat,MergeSort,0.006176
25000,Random,BubbleSort,1.571562
25000,Random,InsertionSort,0.361724
25000,Random,MergeSort,0.008801
25000,Sortat,BubbleSort,0.637125
25000,Sortat,InsertionSort,0.000091
25000,Sortat,MergeSort,0.006834
25000,Inversat,BubbleSort,1.161833
25000,Inversat,InsertionSort,0.720720
25000,Inversat,MergeSort,0.006728
25000,AproapeSortat,BubbleSort,0.744388
25000,AproapeSortat,InsertionSort,0.046604
25000,AproapeSortat,MergeSort,0.007336
30000,Random,BubbleSort,2.272236
30000,Random,InsertionSort,0.515387
30000,Random,MergeSort,0.010682
30000,Sortat,BubbleSort,0.923330
30000,Sortat,InsertionSort,0.000102
30000,Sortat,MergeSort,0.008686
30000,Inversat,BubbleSort,1.677605
30000,Inversat,InsertionSort,1.030760
30000,Inversat,MergeSort,0.008283
30000,AproapeSortat,BubbleSort,1.139631
30000,AproapeSortat,InsertionSort,0.072692
30000,AproapeSortat,MergeSort,0.009666
35000,Random,BubbleSort,3.233411
35000,Random,InsertionSort,0.738994
35000,Random,MergeSort,0.013176
35000,Sortat,BubbleSort,1.308098
35000,Sortat,InsertionSort,0.000130
35000,Sortat,MergeSort,0.009768
35000,Inversat,BubbleSort,2.290528
35000,Inversat,InsertionSort,1.418180
35000,Inversat,MergeSort,0.009916
35000,AproapeSortat,BubbleSort,1.474446
35000,AproapeSortat,InsertionSort,0.088985
35000,AproapeSortat,MergeSort,0.010138
40000,Random,BubbleSort,4.123100
40000,Random,InsertionSort,1.020204
40000,Random,MergeSort,0.014691
40000,Sortat,BubbleSort,1.633855
40000,Sortat,InsertionSort,0.000146
40000,Sortat,MergeSort,0.011544
40000,Inversat,BubbleSort,2.969261
40000,Inversat,InsertionSort,1.831021
40000,Inversat,MergeSort,0.011342
40000,AproapeSortat,BubbleSort,1.932521
40000,AproapeSortat,InsertionSort,0.124599
40000,AproapeSortat,MergeSort,0.012118
45000,Random,BubbleSort,5.390035
45000,Random,InsertionSort,1.246323
45000,Random,MergeSort,0.016194
45000,Sortat,BubbleSort,2.109999
45000,Sortat,InsertionSort,0.000194
45000,Sortat,MergeSort,0.012753
45000,Inversat,BubbleSort,3.737643
45000,Inversat,InsertionSort,2.316932
45000,Inversat,MergeSort,0.012916
45000,AproapeSortat,BubbleSort,2.406178
45000,AproapeSortat,InsertionSort,0.146614
45000,AproapeSortat,MergeSort,0.014081
50000,Random,BubbleSort,6.389789
50000,Random,InsertionSort,1.437357
50000,Random,MergeSort,0.018400
50000,Sortat,BubbleSort,2.542204
50000,Sortat,InsertionSort,0.000178
50000,Sortat,MergeSort,0.014420
50000,Inversat,BubbleSort,4.738109
50000,Inversat,InsertionSort,2.874072
50000,Inversat,MergeSort,0.014240
50000,AproapeSortat,BubbleSort,2.976518
50000,AproapeSortat,InsertionSort,0.180005
50000,AproapeSortat,MergeSort,0.015393
55000,Random,BubbleSort,7.887500
55000,Random,InsertionSort,1.783688
55000,Random,MergeSort,0.020643
55000,Sortat,BubbleSort,3.147936
55000,Sortat,InsertionSort,0.000199
55000,Sortat,MergeSort,0.017246
55000,Inversat,BubbleSort,5.616093
55000,Inversat,InsertionSort,3.456302
55000,Inversat,MergeSort,0.015480
55000,AproapeSortat,BubbleSort,3.565858
55000,AproapeSortat,InsertionSort,0.214881
55000,AproapeSortat,MergeSort,0.016540
60000,Random,BubbleSort,9.380360
60000,Random,InsertionSort,2.062055
60000,Random,MergeSort,0.022249
60000,Sortat,BubbleSort,3.644321
60000,Sortat,InsertionSort,0.000213
60000,Sortat,MergeSort,0.017231
60000,Inversat,BubbleSort,6.637533
60000,Inversat,InsertionSort,4.109979
60000,Inversat,MergeSort,0.017152
60000,AproapeSortat,BubbleSort,4.271721
60000,AproapeSortat,InsertionSort,0.260771
60000,AproapeSortat,MergeSort,0.018351
65000,Random,BubbleSort,11.425377
65000,Random,InsertionSort,2.872612
65000,Random,MergeSort,0.032237
65000,Sortat,BubbleSort,4.525070
65000,Sortat,InsertionSort,0.000230
65000,Sortat,MergeSort,0.018453
65000,Inversat,BubbleSort,8.129410
65000,Inversat,InsertionSort,4.846815
65000,Inversat,MergeSort,0.018288
65000,AproapeSortat,BubbleSort,5.113559
65000,AproapeSortat,InsertionSort,0.316109
65000,AproapeSortat,MergeSort,0.022334
70000,Random,BubbleSort,13.023711
70000,Random,InsertionSort,2.833944
70000,Random,MergeSort,0.027659
70000,Sortat,BubbleSort,4.965784
70000,Sortat,InsertionSort,0.000250
70000,Sortat,MergeSort,0.020517
70000,Inversat,BubbleSort,9.037337
70000,Inversat,InsertionSort,5.631510
70000,Inversat,MergeSort,0.019577
70000,AproapeSortat,BubbleSort,5.827283
70000,AproapeSortat,InsertionSort,0.356131
70000,AproapeSortat,MergeSort,0.021283
75000,Random,BubbleSort,15.420688
75000,Random,InsertionSort,3.349522
75000,Random,MergeSort,0.027746
75000,Sortat,BubbleSort,5.921898
75000,Sortat,InsertionSort,0.000264
75000,Sortat,MergeSort,0.022130
75000,Inversat,BubbleSort,10.407649
75000,Inversat,InsertionSort,6.432356
75000,Inversat,MergeSort,0.022008
75000,AproapeSortat,BubbleSort,6.678814
75000,AproapeSortat,InsertionSort,0.402244
75000,AproapeSortat,MergeSort,0.022833
80000,Random,BubbleSort,16.977919
80000,Random,InsertionSort,3.816837
80000,Random,MergeSort,0.031083
80000,Sortat,BubbleSort,6.659758
80000,Sortat,InsertionSort,0.000279
80000,Sortat,MergeSort,0.023791
80000,Inversat,BubbleSort,11.982369
80000,Inversat,InsertionSort,7.549076
80000,Inversat,MergeSort,0.023228
80000,AproapeSortat,BubbleSort,7.770392
80000,AproapeSortat,InsertionSort,0.451968
80000,AproapeSortat,MergeSort,0.024857
85000,Random,BubbleSort,19.154025
85000,Random,InsertionSort,4.137995
85000,Random,MergeSort,0.032369
85000,Sortat,BubbleSort,7.302630
85000,Sortat,InsertionSort,0.000285
85000,Sortat,MergeSort,0.025241
85000,Inversat,BubbleSort,13.543285
85000,Inversat,InsertionSort,8.432930
85000,Inversat,MergeSort,0.026650
85000,AproapeSortat,BubbleSort,8.762015
85000,AproapeSortat,InsertionSort,0.547882
85000,AproapeSortat,MergeSort,0.026727
90000,Random,BubbleSort,21.938742
90000,Random,InsertionSort,4.755684
90000,Random,MergeSort,0.035943
90000,Sortat,BubbleSort,8.279209
90000,Sortat,InsertionSort,0.000312
90000,Sortat,MergeSort,0.026474
90000,Inversat,BubbleSort,15.177797
90000,Inversat,InsertionSort,9.389072
90000,Inversat,MergeSort,0.025888
90000,AproapeSortat,BubbleSort,9.643044
90000,AproapeSortat,InsertionSort,0.580653
90000,AproapeSortat,MergeSort,0.028038
95000,Random,BubbleSort,23.780213
95000,Random,InsertionSort,5.214768
95000,Random,MergeSort,0.035038
95000,Sortat,BubbleSort,9.377032
95000,Sortat,InsertionSort,0.000332
95000,Sortat,MergeSort,0.028539
95000,Inversat,BubbleSort,17.519735
95000,Inversat,InsertionSort,10.901689
95000,Inversat,MergeSort,0.028880
95000,AproapeSortat,BubbleSort,11.203580
95000,AproapeSortat,InsertionSort,0.663331
95000,AproapeSortat,MergeSort,0.028555
100000,Random,BubbleSort,27.649880
100000,Random,InsertionSort,5.823637
100000,Random,MergeSort,0.037066
100000,Sortat,BubbleSort,10.242131
100000,Sortat,InsertionSort,0.000347
100000,Sortat,MergeSort,0.029036
100000,Inversat,BubbleSort,18.959470
100000,Inversat,InsertionSort,11.783818
100000,Inversat,MergeSort,0.028256
100000,AproapeSortat,BubbleSort,11.895456
100000,AproapeSortat,InsertionSort,0.718423
100000,AproapeSortat,MergeSort,0.030711
105000,Random,BubbleSort,29.036742
105000,Random,InsertionSort,6.318934
105000,Random,MergeSort,0.040188
105000,Sortat,BubbleSort,11.661716
105000,Sortat,InsertionSort,0.000545
105000,Sortat,MergeSort,0.036177
105000,Inversat,BubbleSort,24.532259
105000,Inversat,InsertionSort,15.440636
105000,Inversat,MergeSort,0.041848
105000,AproapeSortat,BubbleSort,14.698902
105000,AproapeSortat,InsertionSort,0.845685
105000,AproapeSortat,MergeSort,0.033975
110000,Random,BubbleSort,33.937262
110000,Random,InsertionSort,7.562933
110000,Random,MergeSort,0.042056
110000,Sortat,BubbleSort,13.022501
110000,Sortat,InsertionSort,0.000377
110000,Sortat,MergeSort,0.032311
110000,Inversat,BubbleSort,23.735209
110000,Inversat,InsertionSort,14.800482
110000,Inversat,MergeSort,0.033718
110000,AproapeSortat,BubbleSort,15.225784
110000,AproapeSortat,InsertionSort,0.921887
110000,AproapeSortat,MergeSort,0.035381
115000,Random,BubbleSort,37.006303
115000,Random,InsertionSort,8.098793
115000,Random,MergeSort,0.048839
115000,Sortat,BubbleSort,14.108789
115000,Sortat,InsertionSort,0.000511
115000,Sortat,MergeSort,0.035073
115000,Inversat,BubbleSort,25.801580
115000,Inversat,InsertionSort,16.342795
115000,Inversat,MergeSort,0.033872
115000,AproapeSortat,BubbleSort,16.631047
115000,AproapeSortat,InsertionSort,1.001222
115000,AproapeSortat,MergeSort,0.036372
120000,Random,BubbleSort,40.332613
120000,Random,InsertionSort,8.824663
120000,Random,MergeSort,0.047179
120000,Sortat,BubbleSort,15.331818
120000,Sortat,InsertionSort,0.000403
120000,Sortat,MergeSort,0.034853
120000,Inversat,BubbleSort,28.160872
120000,Inversat,InsertionSort,17.573855
120000,Inversat,MergeSort,0.037287
120000,AproapeSortat,BubbleSort,18.065458
120000,AproapeSortat,InsertionSort,1.103509
120000,AproapeSortat,MergeSort,0.038952
125000,Random,BubbleSort,43.690475
125000,Random,InsertionSort,9.858147
125000,Random,MergeSort,0.047501
125000,Sortat,BubbleSort,16.377676
125000,Sortat,InsertionSort,0.000418
125000,Sortat,MergeSort,0.035114
125000,Inversat,BubbleSort,30.494148
125000,Inversat,InsertionSort,19.541753
125000,Inversat,MergeSort,0.039660
125000,AproapeSortat,BubbleSort,19.640831
125000,AproapeSortat,InsertionSort,1.111833
125000,AproapeSortat,MergeSort,0.038975
130000,Random,BubbleSort,45.848884
130000,Random,InsertionSort,9.754741
130000,Random,MergeSort,0.049231
130000,Sortat,BubbleSort,17.893934
130000,Sortat,InsertionSort,0.000459
130000,Sortat,MergeSort,0.040567
130000,Inversat,BubbleSort,32.130981
130000,Inversat,InsertionSort,20.607718
130000,Inversat,MergeSort,0.038860
130000,AproapeSortat,BubbleSort,20.443896
130000,AproapeSortat,InsertionSort,1.242158
130000,AproapeSortat,MergeSort,0.042866
